Sl. No.,Patent Application No.,Status of Patent (Published / Granted),Inventor/s Name,Title of the Patent,Applicant/s Name,Patent Filed Date (DD/MM/YYYY) ,Patent Published Date / Granted Date (DD/MM/YYYY),Patent Publication Number / Patent Granted Number,Assignee/s Name (Institute Affiliation/s at time of Appication),"Here, attach Source Proof Screenshots/URL/ Website Links, etc.",,Department,Country,MAapping  with SDG,Link of SDG Document,,,,,,,,,,,,,,,,,,
10,201921053124,Published,"Prafulla Bansod, Ravindra Gaikwad, Shyam Kodape",Two Layer membrane Model for separation of Carotonaids,"Shrikant Barkade, Dinesh Bhutada, Prafulla Bansod, Ravindra Gaikwad, Shyam Kodape,Sachin R Sirsath.",20-12-2019,03-01-2020,01/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/11bQoA5xWGvfJascukH_2KEUHKp59bKuE/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Chemical Engineering,India,"3,7,9,12,13,15,2",https://docs.google.com/document/d/1jAcZJAP_Gr5UdF4l_MRaEXBmRBOEIe3K/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
11,202021034153,Published,"Aditya Sanjay Mhaske, Atharv Satish Nikam, Sanket Sanjay Bhandari, Shamla Tushar Mantri",Smart glasses for monocular vision,"Aditya Sanjay Mhaske, Atharv Satish Nikam, Sanket Sanjay Bhandari, Shamla Tushar Mantri",10-08-2020,8/21/2020,34/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/13xxOToZxZV2XyuWOkVSiky1hfjGDAUQ9/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"3,8,9,10,11,4,12",https://docs.google.com/document/d/1OQuHduwGOYloIru3_Ep_XxGxFnN8ALKj/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
12,202021030782,Published,"Shalaka Vardhaman Tiwatane, Vardhaman Pitambar Tiwatane, Balaso Jagdale",DESIGN AND DEVELOPMENT OF PUBLIC ROAD TRANSPORT MANAGEMENT SOLUTION WITH REFERENCE TO SOCIAL DISTANCING AND PERSONNEL HEALTH SAFETY,"Shalaka Vardhaman Tiwatane, Vardhaman Pitambar Tiwatane",20-07-2020,28-08-2020,35/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1BWYIexWF6xWmV0M7OPULtoFKudflm_L5/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"3,11,8,9,10,12,17",https://docs.google.com/document/d/1zFjCyaaQ22ZtWJr1-JGH_onWdKB3_Q9x/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
13,202021040241,Published,"Mr. Vivekanand A Naikwadi, Dr.Amit Jomde, Mr.Tamkhade Pradip Krishna, Mr.Prashant Patane, Dr Sandeep Sadashiv Kore, Mr. Tadakhe Rajendra Popat",Design and development of innovative radiator fluent flow technology with variable load to flow ratio.,"Mr. Vivekanand A Naikwadi, Dr.Amit Jomde, Mr.Tamkhade Pradip Krishna, Mr.Prashant Patane, Dr Sandeep Sadashiv Kore, Mr. Tadakhe Rajendra Popat",17-09-2020,25-09-2020,39/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1-oUStQWMZXruskR7eHocYxm_JLU2WEVS/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,12,13,8,3,7",https://docs.google.com/document/d/1QVjqFtZxWZtoKn36emQlDoUrDEIz4wci/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
14,201921051720,Published,"Harshita Bhorshetti, Shreyas Ghuge, Sukhada Bhingarkar, Netra Lokhande",SMART GLASSES FOR THE VISUALLY IMPAIRED PEOPLE,"Harshita Bhorshetti, Shreyas Ghuge, Sukhada Bhingarkar, Netra Lokhande",13-12-2019,03-01-2020,01/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1O2jf2SA-G_4XYACWQazxBFjdWSwo2ziC/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"3,10,9,8,4,11",https://docs.google.com/document/d/1_TAxoaBAjljRgIBYiw1jizeG-HnBneRX/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
15,202021033067,Published,"Dr Pravin Popat Hujare, Mr.Manas Anand Kulkarni, Mr.Anish Chandrabhushan Kulkarni, Dr.Deepak Popat Hujare, Mr. Shreyas Ravindra Kulkarni, Mr. Sahil Parag Sura, Ms.Vedanti Parag Aklujkar, Ms. Priya Govind Murkewar",Design and development of compact aloe vera gel extraction machine,"Dr Pravin Popat Hujare, Dr.Deepak Popat Hujare, Mr. Vivekanand A Naikwadi",01-08-2020,28-08-2020,35/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/175h2gVunG0qdlmVji5LShLby-FDMAU6W/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"9,12,2,8,15,3",https://docs.google.com/document/d/1KlugFQb4bO89vsGgT_qriZq8YKkatZRE/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
16,201821029070,Published,"MS. MUSKAN PARAKH, MR. OMKAR KUMBHAR, DR. G. SUNITHA, ER. ADITYA RAJKAMAL SHARMA, ER. GANESH DILIP PATIL, MRS. ALAKNANDA S. PATIL, PROF. PIYUSH ASHOKRAO DALKE, MR. YOGESH NAGVEKAR, MR. SHREYAS SUNIL KOLAPKAR, MR. SAGAR SUNIL KOLAPKAR, MR. NIKHIL VINAYAK BHALERAO, MR. DILENDRA BHAURAO JASUTKAR, MR. PRAVIN RAGHUNATH MINDE, DR. BIPLAB KUMAR SARKAR",ATC-SYSTEM: ADVANCED TRAFFIC CONTROL SYSTEM BY USING INTELLIGENT TECHNOLOGY,"MS. MUSKAN PARAKH, MR. OMKAR KUMBHAR, DR. G. SUNITHA, ER. ADITYA RAJKAMAL SHARMA, ER. GANESH DILIP PATIL, MRS. ALAKNANDA S. PATIL, PROF. PIYUSH ASHOKRAO DALKE, MR. YOGESH NAGVEKAR, MR. SHREYAS SUNIL KOLAPKAR, MR. SAGAR SUNIL KOLAPKAR, MR. NIKHIL VINAYAK BHALERAO, MR. DILENDRA BHAURAO JASUTKAR, MR. PRAVIN RAGHUNATH MINDE, DR. BIPLAB KUMAR SARKAR",02-08-2018,2/7/2020,06/2020,"JSPM, Pune",https://drive.google.com/file/d/1e_h37DBnHJG3dn7-Oeic7p3tg0Jttpyr/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Civil Engineering,India,"11,9,3,16,13",https://docs.google.com/document/d/1pDfDnzZIwedfzYcS5HwzZPocJhCv4EWl/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
17,201921053887,Published,"Mrunal N Annadate, Manoj S. Nagmode",Method For Detection Of Heart Abnormality In Ultrasound Video,"Mrunal N Annadate, Manoj S. Nagmode",26-12-2019,21-02-2020,08/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1MOSVfxF13-HfU483dpGd1djyC8lSHpPz/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"3,8,10,12,17",https://docs.google.com/document/d/1NztlaGyuvbuWA9ahWEqK9xpKFCN1GEc4/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
18,201921051414,Published,"Aditi Jahagirdar, Manoj Nagmode",SYSTEM AND METHOD FOR ABNORMAL EVENT DETECTION,"Aditi Jahagirdar, Manoj Nagmode",12-12-2019,31-01-2020,05/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1du10e7q6AjdzbC5sHNKOjjLawMGyaVVV/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"3,9,11,16,17",https://docs.google.com/document/d/1CtD94cvSUzu9eDnSNRRoz-GolonpnoT3/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
19,202041039531,Published,"Anita Nene, S. RAMACHANDRAN",Convex conical receiver with rim in concentrator technology,"Anita Nene, S. RAMACHANDRAN",9/12/2020,9/25/2020,39/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1OEr17fyReqFm3MvkKK5vyW3POtw7PED1/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Mechanical Engineering,India,"7,9,12,13",https://docs.google.com/document/d/1Ci53sO_WDrRQMtiwQePM732OO7mOvEC2/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
20,201821031879,Published,"Virendra V. Shete, Sunil B. Somani, Mangesh Girish Islampurkar, Kishanprasad G. Gunale",System for multiple-fault diagnosis in digital circuit,"Mangesh Girish Islampurkar, Virendra V. Shete",25-08-2018,28-02-2020,09/2020,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1FNs1st7jECFgfXf_FeqFDP-UeN_meoJu/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Electrical and Electronics Engineering,India,"9,12,13,17",https://docs.google.com/document/d/1x_ziJjGRWl8edPB-y71HoR2kP4BmtDtd/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
21,202021039556,Published,"Mahesh B. Sonawane, Sumedh Y. Mhaske
",ADIM- CLIMATE ZONE OF INDIA: ASSESSMENT OF DAYLIGHT ILLUMINANCE INTENSITIES AND ITS ESTIMATION FOR MODERATE CLIMATE ZONE OF INDIA,"Mahesh B. Sonawane, Sumedh Y. Mhaske",9/13/2020,9/25/2020,39/2020,Dr. Vishwanath Karad MIT-World Peace University,https://drive.google.com/file/d/1FN14IrPGNVfvVjnWWrLJkhQ5iREfMRyU/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Civil Engineering,India,"7,11,13,12",https://docs.google.com/document/d/1yjUUxzzV1os8W9oV58FWqjW9E-genepL/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
22,202021008223,Published,"Vandana Jagtap, Shilpa Pimpalkar, Kumudini Munwar, Manisha Mali, Monalisa Bhinge, Vishal Sharad Hingmire, Sachin Bajirao Khandare, Santosh Shantaram Basanga, Vivek Uttam Jagtap, Piyush Ashokrao Dalke",IOT Based Water Dispensing Apparatus,"Vandana Jagtap, Shilpa Pimpalkar, Kumudini Munwar, Manisha Mali, Monalisa Bhinge, Vishal Sharad Hingmire, Sachin Bajirao Khandare, Santosh Shantaram Basanga, Vivek Uttam Jagtap, Piyush Ashokrao Dalke",2/26/2020,5/22/2020,21/2020,Dr. Vishwanath Karad MIT-World Peace University,https://drive.google.com/file/d/1Y1bjfDRS79DjEkastQqvFEGQWvvozptv/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,Computer Engineering & Technology,India,"6,9,12,13,11",https://docs.google.com/document/d/13T-WUCjcfTMHGgmIRp1QxtpQwuiknDfB/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
23,201921002719,Published,"Swati Changdeo Jagdale, Anuruddha Rajaram Chabukswar, Vasant Vidyadhar Chabukswar, Chinmayee Dipak Zemse",Stable topical composition comprising tretinoin for treatment of acne vulgaris. ,"Swati Changdeo Jagdale, Anuruddha Rajaram Chabukswar, Vasant Vidyadhar Chabukswar, Chinmayee Dipak Zemse",1/23/2019,7/31/2020,31/2020,Dr. Vishwanath Karad MIT-World Peace University,https://drive.google.com/file/d/1Ju4Nna2BEWbywN5JTOX6WmU_KOTQijbR/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Pharmacy,India,,,,,,,,,,,,,,,,,,,,
24,201921019148,Published,"Choudhari Ganesh, Choudhari Vishnu, Kuchekar Bhanudas, More Chandrakant, Pawar Anil.",Liquid Composition Comprising Multiple Active Ingredients,"Choudhari Ganesh, Choudhari Vishnu, Kuchekar Bhanudas, More Chandrakant, Pawar Anil.",5/14/2019,12/4/2020,49/2020,Dr. Vishwanath Karad MIT-World Peace University,https://drive.google.com/file/d/1iz9cRcis2Lg_fN2n0PrNhVtelDhewJpp/view?usp=sharing,https://iprsearch.ipindia.gov.in/PublicSearch/,School of Pharmacy,India,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2021106391,Granted,Arti Khaparde; Yogita Gajare,HIGHER ORDER DESIGN OF DIGITAL CIFB SIGMA DELTA MODULATOR,"Dr. Vishwanath Karad MIT World Peace University; Gajare, Yogita; Khaparde, Arti",8/21/2021,11/10/2021,2021106391,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1Itd31RhsFjVzNIE5TzOF7PaiRYJrVqto/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Electrical and Electronics Engineering,Australia,"9,12,7,13,4,11",https://docs.google.com/document/d/1VovDed0nwXu3dLQP2b9ogj0BMCIpajGC/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
26,2021106258,Granted,"Saoji, Swapna; Pande, Milind",A SYSTEM FOR MANAGING AND AUTOMATING ACTIVITIES PERTAINING TO HUMAN RESOURCE MANAGEMENT,"Dr. Vishwanath Karad MIT World Peace University; Pande, Milind; Saoji, Swapna",20-08-2021,11/10/2021,2021106258,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/14KVI_LLBvCZSCio4bQMObnI2Qggx5k1C/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"8,9,10,12,4,11,17",https://docs.google.com/document/d/1PQvV20PO4mOBN9OC4Yhmfo3LQKso45Va/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
27,2021106257,Granted,"Dr. Prasad Khandekar, Dr. Shaila Subbaraman, Pooja Nahar",A BOUNDARY CIRCUIT FOR INTERFACING AN ADIABATIC CIRCUIT WITH A CMOS CIRCUIT,"Dr. Vishwanath Karad MIT World Peace University; Khandekar, Prasad; Subbaraman, Shaila; Nahar, Pooja",20-08-2021,11/10/2021,2021106257,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1mtFeSvt6FcGzcPEDzubIkSbO3ry1awt1/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Electrical and Electronics Engineering,Australia,"7,9,12,13,8,4,17",https://docs.google.com/document/d/1A0EI9RDPKwsoD8rHGbfDG04IeCqEwN5q/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
28,2021106275,Granted,Dr. Milind Pande ; Mr. Varad Vivek Vishwarupe; Dr. Mangesh V. Bedekar; Mr. Vishal Kamalakar,A ZONE-SPECIFIC WEATHER MONITORING SYSTEM,"Dr. Vishwanath Karad MIT World Peace University; Pande, Milind; Vishwarupe, Varad MR; Bedekar, Mangesh; Kamalakar, Vishal ",21-08-2021,11/10/2021,2021106275,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1XRJJP9wmsXZQembWsTOVjJktyW0l-JHi/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Computer Engineering & Technology,Australia,"13,11,9,6,17,2,3",https://docs.google.com/document/d/1KSGBJ8TfS9LYXuV2AjwOYBz8Qe6aMrkh/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
29,2021105340,Granted,Dr. Ganesh Ingle; Sudhir P Patil; Mahesh V Tatikonda ; Sairaj Umesh Salunkhe ;Rohan Suresh Patil; Ruturaj Vasant Shedge; Prem Gajanan Chadawar; Nikhil Uttam Patil; Mahesh V Tatikonda,A MOULD FOR PREPARING ADDITIVES FOR STABILIZATION OF SOIL AND ADDITIVES PREPARED THEREFROM,"Dr. Vishwanath Karad MIT World Peace University; Chadawar, Prem; Ingle, Ganesh; Patil, Nikhil; Patil, Rohan; Patil, Sudhir; Salunkhe, Sairaj; Shedge, Ruturaj; Tatikonda, Mahesh",8/12/2021,11/3/2021,2021105340,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1ZgmS5-Pz2XHUldfd24XciWLmTC-mPRq3/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Civil Engineering,Australia,"9,11,13,12,15,2",https://docs.google.com/document/d/10ZKCVQjImrKukC9iaDeiVK0rnp-AF5HZ/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
30,2021106248,Granted,"Sonawane, Mahesh; Mhaske, Sumedh",A METHOD FOR ASSESSING CLIMATE BASED ON ILLUMINANCE LEVEL OF A PLACE,"Dr. Vishwanath Karad MIT World Peace University; Mhaske, Sumedh; Sonawane, Mahesh",20-08-2021,11/17/2021,2021106248,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1T1tS7V31ybmAPufF_q8VW-5jCvfMhMKG/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Civil Engineering,Australia,"13,9,7,11,3,6,15",https://docs.google.com/document/d/1gy4PrTzWohRLmxLX-rydIDZ3SRsX5L0n/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
31,2021105197,Granted,"Kulkarni, Mrudula; Mainkar, Prakash",A THERMAL CONDUCTIVITY METER FOR DETERMINING THERMAL CONDUCTIVITY OF Civil Engineering STRUCTURES,"Dr. Vishwanath Karad MIT World Peace University; MAGARPATIL, HANAMANT; SHINDE, SUMANT",8/10/2021,11/3/2021,2021105197,"Dr.Vishwanath Karad MIT WORLD PEACE UNIVERSITY, PUNE",https://drive.google.com/file/d/1piT2LEDpe1a6Pfrs7P2cZkYrdXyQJ85Y/view?usp=sharing,https://pericles.ipaustralia.gov.au/ols/auspat/quickSearch.do,Civil Engineering,Australia,"9,11,12,13,7,8,15",https://docs.google.com/document/d/1fllg8vzApzJAmBiy1oButMDJ7PVlysY2/edit?usp=drive_link&ouid=111632857619699904887&rtpof=true&sd=true,,,,,,,,,,,,,,,,,,
